Ensembl	logFC	FDR	SYMBOL	Significance
ENSG00000166105	0.716275008	0.029944535	GLB1L3	Up
ENSG00000100350	0.493852082	0.029944535	FOXRED2	Up
ENSG00000107745	-0.39250543	0.029958859	MICU1	Down
ENSG00000185818	0.72741857	0.029959841	NAT8L	Up
ENSG00000182287	-0.506256171	0.0301278	AP1S2	Down
ENSG00000204310	0.782512887	0.0301278	AGPAT1	Up
ENSG00000179632	0.499539932	0.0301278	MAF1	Up
ENSG00000167904	-0.500682549	0.030144853	TMEM68	Down
ENSG00000167635	-0.450579333	0.030202708	ZNF146	Down
ENSG00000053918	1.035121614	0.030202708	KCNQ1	Up
ENSG00000116406	-0.41261437	0.030228906	EDEM3	Down
ENSG00000171867	-0.382444952	0.030231516	PRNP	Down
ENSG00000124380	-0.507531687	0.030233991	SNRNP27	Down
ENSG00000129071	-0.413185907	0.030233991	MBD4	Down
ENSG00000135387	-0.359181581	0.030268203	CAPRIN1	Down
ENSG00000161996	1.228635805	0.030268203	WDR90	Up
ENSG00000165124	0.491148216	0.030309511	SVEP1	Up
ENSG00000130584	0.672684985	0.030324217	ZBTB46	Up
ENSG00000197977	-0.571538231	0.030335232	ELOVL2	Down
ENSG00000241878	0.787668443	0.03040484	PISD	Up
ENSG00000144485	1.172058903	0.030417746	HES6	Up
ENSG00000160055	0.678959636	0.030419797	TMEM234	Up
ENSG00000113649	-0.404246648	0.030438541	TCERG1	Down
ENSG00000175787	0.524060374	0.030461431	ZNF169	Up
ENSG00000103126	0.646055509	0.030470238	AXIN1	Up
ENSG00000214063	1.307210117	0.030493884	TSPAN4	Up
ENSG00000148411	0.52604775	0.030495766	NACC2	Up
ENSG00000104880	0.855480411	0.030544004	ARHGEF18	Up
ENSG00000178913	-0.44402309	0.030548922	TAF7	Down
ENSG00000175224	0.472738403	0.030596177	ATG13	Up
ENSG00000142655	0.546948194	0.030606992	PEX14	Up
ENSG00000095139	-0.387752221	0.030622541	ARCN1	Down
ENSG00000100129	-0.392533877	0.030644356	EIF3L	Down
ENSG00000091009	-0.471720611	0.030650235	RBM27	Down
ENSG00000079156	-0.436382301	0.030721751	OSBPL6	Down
ENSG00000151470	-0.597899234	0.030721751	C4orf33	Down
ENSG00000131389	0.504079728	0.030728491	SLC6A6	Up
ENSG00000138386	-0.400382019	0.030733277	NAB1	Down
ENSG00000006451	-0.486176396	0.030799535	RALA	Down
ENSG00000166477	-0.534061258	0.030799535	LEO1	Down
ENSG00000124209	-0.375827986	0.030799535	RAB22A	Down
ENSG00000165617	-0.670464751	0.030812052	DACT1	Down
ENSG00000215912	0.960168902	0.030826578	TTC34	Up
ENSG00000147649	-0.390762413	0.030893411	MTDH	Down
ENSG00000127415	1.292143411	0.03098796	IDUA	Up
ENSG00000160211	0.766311977	0.031009197	G6PD	Up
ENSG00000154783	0.582653036	0.031021227	FGD5	Up
ENSG00000069248	-0.390471689	0.03103856	NUP133	Down
ENSG00000150054	-0.681728081	0.03107764	MPP7	Down
ENSG00000161671	0.638825458	0.031096246	EMC10	Up
ENSG00000155846	0.484694383	0.031108426	PPARGC1B	Up
ENSG00000188626	0.941756797	0.031108426	GOLGA8M	Up
ENSG00000100241	0.966030868	0.031108426	SBF1	Up
ENSG00000110400	0.782775767	0.031173092	NECTIN1	Up
ENSG00000151532	-0.398807431	0.03124038	VTI1A	Down
ENSG00000088930	-0.46432158	0.031260271	XRN2	Down
ENSG00000171877	0.419474322	0.031260271	FRMD5	Up
ENSG00000119862	-0.48033819	0.031271383	LGALSL	Down
ENSG00000043093	-0.407633017	0.031271383	DCUN1D1	Down
ENSG00000175893	-0.410328034	0.031271383	ZDHHC21	Down
ENSG00000175536	-0.86792812	0.031271383	LIPT2	Down
ENSG00000126821	-0.387225663	0.031271383	SGPP1	Down
ENSG00000122965	0.395229048	0.031271383	RBM19	Up
ENSG00000105298	0.651025782	0.031271383	CACTIN	Up
ENSG00000110841	-0.48515479	0.031304676	PPFIBP1	Down
ENSG00000102383	-0.51410907	0.031324857	ZDHHC15	Down
ENSG00000143624	0.395987035	0.03137685	INTS3	Up
ENSG00000139668	0.404174917	0.031386172	WDFY2	Up
ENSG00000125337	1.288376263	0.031432767	KIF25	Up
ENSG00000149541	0.967913118	0.031432767	B3GAT3	Up
ENSG00000177868	-0.577230352	0.031486391	SVBP	Down
ENSG00000178878	0.657309138	0.031585477	APOLD1	Up
ENSG00000167699	-0.396237951	0.031588079	GLOD4	Down
ENSG00000103021	-0.398656044	0.031599252	CCDC113	Down
ENSG00000261678	0.779369499	0.031622373	SCRT1	Up
ENSG00000183798	1.414534681	0.031668328	EMILIN3	Up
ENSG00000180881	-0.4971233	0.031684005	CAPS2	Down
ENSG00000048649	-0.442021072	0.031710895	RSF1	Down
ENSG00000137171	0.585806461	0.031714773	KLC4	Up
ENSG00000130055	0.788783456	0.031731104	GDPD2	Up
ENSG00000140829	0.410817114	0.031731104	DHX38	Up
ENSG00000164588	-0.415025509	0.031733008	HCN1	Down
ENSG00000130997	0.868627315	0.031733008	POLN	Up
ENSG00000100425	0.416284707	0.031733008	BRD1	Up
ENSG00000213930	0.623876252	0.031735018	GALT	Up
ENSG00000140090	0.651131708	0.031752745	SLC24A4	Up
ENSG00000126768	1.144837311	0.031845941	TIMM17B	Up
ENSG00000184575	-0.428722067	0.031942839	XPOT	Down
ENSG00000167632	0.455441887	0.031976152	TRAPPC9	Up
ENSG00000080819	0.471193751	0.032037373	CPOX	Up
ENSG00000254986	0.694792147	0.032037373	DPP3	Up
ENSG00000172339	-0.494401	0.032119351	ALG14	Down
ENSG00000133313	0.332329365	0.032139735	CNDP2	Up
ENSG00000100258	1.098308204	0.032139735	LMF2	Up
ENSG00000100147	0.782875455	0.032151978	CCDC134	Up
ENSG00000213799	-0.518652983	0.032153042	ZNF845	Down
ENSG00000161642	0.92700041	0.032153042	ZNF385A	Up
ENSG00000013503	-0.441831648	0.032232702	POLR3B	Down
ENSG00000116584	0.361424878	0.032232702	ARHGEF2	Up
ENSG00000148218	0.394654928	0.032232702	ALAD	Up
ENSG00000107290	-0.385316485	0.032246801	SETX	Down
ENSG00000109062	0.828840339	0.032267589	SLC9A3R1	Up
ENSG00000174842	-0.616416023	0.032276531	GLMN	Down
ENSG00000146006	-0.385074085	0.032319696	LRRTM2	Down
ENSG00000163346	0.523440799	0.032319696	PBXIP1	Up
ENSG00000081052	0.715710923	0.032319696	COL4A4	Up
ENSG00000124608	0.556993161	0.032319696	AARS2	Up
ENSG00000178026	1.06427725	0.032400112	LRRC75B	Up
ENSG00000112146	-0.389293058	0.032404906	FBXO9	Down
ENSG00000181588	1.085909345	0.032419877	MEX3D	Up
ENSG00000136108	-0.49609462	0.03245433	CKAP2	Down
ENSG00000163412	-0.387907599	0.032474397	EIF4E3	Down
ENSG00000112139	0.718869373	0.032474397	MDGA1	Up
ENSG00000100445	0.606181953	0.032474397	SDR39U1	Up
ENSG00000174136	-0.411730321	0.032495357	RGMB	Down
ENSG00000134987	-0.389464178	0.032538817	WDR36	Down
ENSG00000142230	-0.417847	0.032695481	SAE1	Down
ENSG00000163577	-0.58657239	0.03272037	EIF5A2	Down
ENSG00000163673	-0.558910964	0.032752289	DCLK3	Down
ENSG00000086062	0.664861374	0.032752289	B4GALT1	Up
ENSG00000104824	0.447608692	0.032752289	HNRNPL	Up
ENSG00000041988	0.831769958	0.032754333	THAP3	Up
ENSG00000103245	0.899885268	0.032770549	CIAO3	Up
ENSG00000244274	0.818624123	0.032784554	DBNDD2	Up
ENSG00000160111	1.324502784	0.032784554	CPAMD8	Up
ENSG00000114200	-0.598993021	0.032792105	BCHE	Down
ENSG00000183023	-0.422726855	0.032837204	SLC8A1	Down
ENSG00000063127	0.986475643	0.032838861	SLC6A16	Up
ENSG00000167325	-0.47016054	0.032849076	RRM1	Down
ENSG00000185947	-0.632527312	0.032866175	ZNF267	Down
ENSG00000164603	-0.481793029	0.032926876	BMT2	Down
ENSG00000153443	0.888143013	0.032926876	UBALD1	Up
ENSG00000162607	-0.5162695	0.0329283	USP1	Down
ENSG00000130517	0.582979514	0.032947674	PGPEP1	Up
ENSG00000241839	0.894279233	0.032976229	PLEKHO2	Up
ENSG00000112796	-0.512956594	0.033001064	ENPP5	Down
ENSG00000179933	-0.466849556	0.033001064	C14orf119	Down
ENSG00000159915	-0.607627309	0.033001064	ZNF233	Down
ENSG00000116254	0.446831081	0.033001064	CHD5	Up
ENSG00000136720	0.610794829	0.033001064	HS6ST1	Up
ENSG00000186298	-0.436266019	0.033003897	PPP1CC	Down
ENSG00000126254	0.724757586	0.033063697	RBM42	Up
ENSG00000205981	-0.442924919	0.033066508	DNAJC19	Down
ENSG00000133318	-0.392208507	0.033066508	RTN3	Down
ENSG00000176994	0.418351147	0.033066508	SMCR8	Up
ENSG00000204396	1.108048104	0.033102024	VWA7	Up
ENSG00000123600	-0.39561752	0.033127711	METTL8	Down
ENSG00000156599	0.409810824	0.033127711	ZDHHC5	Up
ENSG00000176463	0.451465022	0.033138236	SLCO3A1	Up
ENSG00000165502	-0.627971179	0.033153109	RPL36AL	Down
ENSG00000133142	-0.515979516	0.033213739	TCEAL4	Down
ENSG00000134697	-0.502126536	0.033213986	GNL2	Down
ENSG00000186446	-0.591082725	0.033225626	ZNF501	Down
ENSG00000116525	0.837632319	0.033291218	TRIM62	Up
ENSG00000168275	-0.559479515	0.033311654	COA6	Down
ENSG00000187555	-0.370414522	0.033311654	USP7	Down
ENSG00000134198	-0.846866501	0.033325077	TSPAN2	Down
ENSG00000163288	-0.382447989	0.033347217	GABRB1	Down
ENSG00000109606	-0.391304623	0.033351955	DHX15	Down
ENSG00000083312	-0.355765084	0.033351955	TNPO1	Down
ENSG00000284770	0.695992235	0.033351955	TBCE	Up
ENSG00000107263	0.46706547	0.033351955	RAPGEF1	Up
ENSG00000160584	0.387455416	0.033351955	SIK3	Up
ENSG00000167685	0.854495963	0.03337691	ZNF444	Up
ENSG00000165801	0.645245568	0.033458359	ARHGEF40	Up
ENSG00000070159	-0.522654305	0.033465154	PTPN3	Down
ENSG00000151490	-0.51584047	0.033480803	PTPRO	Down
ENSG00000121988	-0.484212157	0.033525633	ZRANB3	Down
ENSG00000060656	0.672561367	0.033525633	PTPRU	Up
ENSG00000122545	-0.521685755	0.033541799	SEPTIN7	Down
ENSG00000162654	-0.600126803	0.033574001	GBP4	Down
ENSG00000164631	-0.436759321	0.033600999	ZNF12	Down
ENSG00000107796	0.863001052	0.033600999	ACTA2	Up
ENSG00000133731	-0.437465314	0.033650604	IMPA1	Down
ENSG00000183091	-0.537824855	0.033661917	NEB	Down
ENSG00000124766	-0.608133739	0.033661917	SOX4	Down
ENSG00000059728	0.452380052	0.033661917	MXD1	Up
ENSG00000158234	-0.581479	0.033678421	FAIM	Down
ENSG00000188690	-0.426662694	0.033706801	UROS	Down
ENSG00000119630	1.134415134	0.033717695	PGF	Up
ENSG00000109667	0.797706473	0.03375355	SLC2A9	Up
ENSG00000092201	-0.427939795	0.033776898	SUPT16H	Down
ENSG00000170231	-0.69632525	0.03377718	FABP6	Down
ENSG00000163710	-0.867485317	0.033896788	PCOLCE2	Down
ENSG00000086666	-0.434313471	0.033907146	ZFAND6	Down
ENSG00000167065	0.635071712	0.033917605	DUSP18	Up
ENSG00000153044	-0.856130932	0.033954414	CENPH	Down
ENSG00000196418	-0.611729483	0.033968206	ZNF124	Down
ENSG00000145824	-0.539329353	0.033968206	CXCL14	Down
ENSG00000140948	0.430738173	0.033968206	ZCCHC14	Up
ENSG00000145506	1.022447419	0.03398141	NKD2	Up
ENSG00000123815	0.909976208	0.033984979	COQ8B	Up
ENSG00000258289	-0.428482721	0.033999469	CHURC1	Down
ENSG00000042445	0.452944294	0.034037267	RETSAT	Up
ENSG00000124787	-0.683348302	0.034041671	RPP40	Down
ENSG00000133612	0.830613664	0.034041671	AGAP3	Up
ENSG00000198026	0.713865822	0.034041671	ZNF335	Up
ENSG00000106236	-0.749202185	0.034061054	NPTX2	Down
ENSG00000029534	0.509978474	0.034061054	ANK1	Up
ENSG00000066739	-0.344143378	0.034115214	ATG2B	Down
ENSG00000118217	-0.3690613	0.034134996	ATF6	Down
ENSG00000228486	0.627592577	0.034214213	C2orf92	Up
ENSG00000136866	-0.573167569	0.034236443	ZFP37	Down
ENSG00000196975	0.485933039	0.034249856	ANXA4	Up
ENSG00000112394	1.067899274	0.034249856	SLC16A10	Up
ENSG00000143420	-0.350004023	0.034302974	ENSA	Down
ENSG00000155903	-0.464684959	0.034302974	RASA2	Down
ENSG00000196132	0.493874182	0.034414386	MYT1	Up
ENSG00000137727	-0.452841982	0.03443383	ARHGAP20	Down
ENSG00000204344	0.563425855	0.03443383	STK19	Up
ENSG00000257923	0.371753136	0.03443383	CUX1	Up
ENSG00000068137	0.878608079	0.034447347	PLEKHH3	Up
ENSG00000253731	0.527896003	0.034491048	PCDHGA6	Up
ENSG00000147481	-0.433159121	0.034543112	SNTG1	Down
ENSG00000137947	-0.462352906	0.034560522	GTF2B	Down
ENSG00000118946	-0.41664511	0.034654452	PCDH17	Down
ENSG00000189221	-0.42838478	0.0346938	MAOA	Down
ENSG00000173674	-0.37210748	0.03479281	EIF1AX	Down
ENSG00000132600	0.466781366	0.03489513	PRMT7	Up
ENSG00000148384	0.721234833	0.034917725	INPP5E	Up
ENSG00000108523	0.531626998	0.035103993	RNF167	Up
ENSG00000165233	0.929701334	0.035141739	CARD19	Up
ENSG00000221829	0.775320439	0.035165884	FANCG	Up
ENSG00000181220	0.528337655	0.035178942	ZNF746	Up
ENSG00000126226	0.42453196	0.035272824	PCID2	Up
ENSG00000131558	-0.356414107	0.035298741	EXOC4	Down
ENSG00000148153	-0.403650917	0.035298741	INIP	Down
ENSG00000164850	1.115875683	0.035298741	GPER1	Up
ENSG00000168434	0.464237874	0.035300908	COG7	Up
ENSG00000140374	-0.387600362	0.035316074	ETFA	Down
ENSG00000138617	0.600174328	0.035356131	PARP16	Up
ENSG00000278311	-0.43847428	0.035399954	GGNBP2	Down
ENSG00000158555	0.944243719	0.035399954	GDPD5	Up
ENSG00000038945	0.904389865	0.035404166	MSR1	Up
ENSG00000109689	-0.428733171	0.035503067	STIM2	Down
ENSG00000130958	0.70529969	0.035505718	SLC35D2	Up
ENSG00000019505	-0.468244824	0.03555461	SYT13	Down
ENSG00000150967	0.708151268	0.035571518	ABCB9	Up
ENSG00000177427	0.773659924	0.035571518	MIEF2	Up
ENSG00000267796	0.941730916	0.035571518	LIN37	Up
ENSG00000117748	-0.427103364	0.035580001	RPA2	Down
ENSG00000165886	1.338085161	0.035580001	UBTD1	Up
ENSG00000221914	-0.489120568	0.03566499	PPP2R2A	Down
ENSG00000079257	-0.802856548	0.035667925	LXN	Down
ENSG00000138172	0.77753475	0.035667925	CALHM2	Up
ENSG00000224531	-0.41671985	0.035678327	SMIM13	Down
ENSG00000228696	1.585437622	0.035679725	ARL17A	Up
ENSG00000122406	-0.356646865	0.035769201	RPL5	Down
ENSG00000095539	0.651660788	0.035769201	SEMA4G	Up
ENSG00000035687	-0.473011905	0.035789975	ADSS2	Down
ENSG00000129932	0.894927495	0.035789975	DOHH	Up
ENSG00000254402	1.58418407	0.035836338	LRRC24	Up
ENSG00000105576	0.51607795	0.035856087	TNPO2	Up
ENSG00000111605	-0.362771877	0.035900568	CPSF6	Down
ENSG00000130202	0.839015083	0.035905155	NECTIN2	Up
ENSG00000150510	0.45183625	0.035944705	FAM124A	Up
ENSG00000165323	-0.427834733	0.035957496	FAT3	Down
ENSG00000178075	-0.4215317	0.035978495	GRAMD1C	Down
ENSG00000050748	-0.405204338	0.035992396	MAPK9	Down
ENSG00000111371	-0.348761897	0.036037461	SLC38A1	Down
ENSG00000141314	0.75310226	0.036037461	RHBDL3	Up
ENSG00000162595	-0.792164219	0.036220008	DIRAS3	Down
ENSG00000070404	1.128095494	0.036278241	FSTL3	Up
ENSG00000196361	0.418489463	0.036278241	ELAVL3	Up
ENSG00000145687	-0.397540738	0.036281705	SSBP2	Down
ENSG00000111913	-0.440700879	0.036306349	RIPOR2	Down
ENSG00000170396	-0.560356984	0.03634475	ZNF804A	Down
ENSG00000115282	0.654561855	0.036371854	TTC31	Up
ENSG00000213672	0.892459769	0.036371854	NCKIPSD	Up
ENSG00000101104	0.666547198	0.036371854	PABPC1L	Up
ENSG00000137968	-0.507439494	0.036421033	SLC44A5	Down
ENSG00000140740	-0.339189713	0.036421033	UQCRC2	Down
ENSG00000173681	-0.483026786	0.036429547	BCLAF3	Down
ENSG00000180739	0.479884361	0.036470921	S1PR5	Up
ENSG00000100603	-0.506479307	0.036481658	SNW1	Down
ENSG00000158286	0.788846247	0.036522277	RNF207	Up
ENSG00000122417	-0.480662183	0.036548702	ODF2L	Down
ENSG00000153902	0.4706924	0.036561733	LGI4	Up
ENSG00000146576	0.813270496	0.036584867	C7orf26	Up
ENSG00000156411	-0.417559685	0.036688352	ATP5MPL	Down
ENSG00000107829	0.41532932	0.036688352	FBXW4	Up
ENSG00000147684	-0.421768695	0.036718669	NDUFB9	Down
ENSG00000095564	-0.410979536	0.03674805	BTAF1	Down
ENSG00000152778	-0.404948206	0.036782403	IFIT5	Down
ENSG00000104884	0.758401906	0.036790932	ERCC2	Up
ENSG00000130529	0.942653458	0.036790932	TRPM4	Up
ENSG00000020426	-0.47788645	0.036836133	MNAT1	Down
ENSG00000100647	0.535159368	0.036836133	SUSD6	Up
ENSG00000197283	0.67933703	0.036909083	SYNGAP1	Up
ENSG00000139826	-0.452130411	0.036918267	ABHD13	Down
ENSG00000140386	-0.414672721	0.036918267	SCAPER	Down
ENSG00000088812	-0.335186711	0.036918619	ATRN	Down
ENSG00000140937	-0.388772506	0.036941522	CDH11	Down
ENSG00000179941	-0.526287737	0.037026375	BBS10	Down
ENSG00000171016	-0.415598537	0.037027657	PYGO1	Down
ENSG00000090615	0.394196038	0.037027657	GOLGA3	Up
ENSG00000134313	-0.37460121	0.037048666	KIDINS220	Down
ENSG00000203877	-0.579317929	0.037057084	RIPPLY2	Down
ENSG00000198551	-0.494324343	0.037060506	ZNF627	Down
ENSG00000185149	-0.810949011	0.037084468	NPY2R	Down
ENSG00000164823	-0.523316921	0.037097875	OSGIN2	Down
ENSG00000280789	0.812355988	0.037126718	PAGR1	Up
ENSG00000269190	0.774938179	0.037159911	FBXO17	Up
ENSG00000205339	-0.405743614	0.037253683	IPO7	Down
ENSG00000140688	0.601806933	0.037277732	C16orf58	Up
ENSG00000169213	-0.538298566	0.037281811	RAB3B	Down
ENSG00000136738	-0.415799141	0.037281811	STAM	Down
ENSG00000146592	0.4477172	0.037281811	CREB5	Up
ENSG00000162714	0.525593834	0.03729527	ZNF496	Up
ENSG00000166165	0.61720436	0.037317999	CKB	Up
ENSG00000144597	-0.39417708	0.037325728	EAF1	Down
ENSG00000143630	0.907956801	0.037406707	HCN3	Up
ENSG00000127366	1.047353339	0.037419983	TAS2R5	Up
ENSG00000181072	-0.732448922	0.037438447	CHRM2	Down
ENSG00000184271	0.545943419	0.037438447	POU6F1	Up
ENSG00000104853	0.460192391	0.037471185	CLPTM1	Up
ENSG00000189308	-0.414637574	0.037480765	LIN54	Down
ENSG00000134215	-0.719658625	0.037491587	VAV3	Down
ENSG00000176273	-0.651271968	0.037534518	SLC35G1	Down
ENSG00000009780	-0.451688022	0.037639058	FAM76A	Down
ENSG00000126522	0.685672288	0.037722286	ASL	Up
ENSG00000065970	0.439243481	0.037722286	FOXJ2	Up
ENSG00000100726	1.182323622	0.037752056	TELO2	Up
ENSG00000161091	0.812414511	0.037752056	MFSD12	Up
ENSG00000172244	-0.827941564	0.037763933	C5orf34	Down
ENSG00000189369	-0.432392241	0.037774387	GSPT2	Down
ENSG00000128294	0.568303213	0.037815227	TPST2	Up
ENSG00000132906	0.505546203	0.037845229	CASP9	Up
ENSG00000141503	0.54500978	0.037845229	MINK1	Up
ENSG00000104903	1.087724085	0.037849482	LYL1	Up
ENSG00000188404	0.944745893	0.037933222	SELL	Up
ENSG00000169891	-0.378092089	0.037935653	REPS2	Down
ENSG00000263001	-0.352226016	0.037960993	GTF2I	Down
ENSG00000181450	-0.442088916	0.03798649	ZNF678	Down
ENSG00000170604	0.954077562	0.03805555	IRF2BP1	Up
ENSG00000166532	-0.397938924	0.038199243	RIMKLB	Down
ENSG00000196792	-0.443166221	0.038199243	STRN3	Down
ENSG00000102931	-0.401679924	0.038199243	ARL2BP	Down
ENSG00000186416	-0.42633473	0.038200273	NKRF	Down
ENSG00000101746	-0.434106996	0.038200273	NOL4	Down
ENSG00000180257	-0.682551121	0.038210315	ZNF816	Down
ENSG00000169203	0.653402298	0.038210315	NPIPB12	Up
ENSG00000137168	-0.481610997	0.038264138	PPIL1	Down
ENSG00000131584	0.877783207	0.038284912	ACAP3	Up
ENSG00000117133	-0.477140386	0.038317981	RPF1	Down
ENSG00000167645	1.024502195	0.038317981	YIF1B	Up
ENSG00000143033	-0.411889345	0.03832496	MTF2	Down
ENSG00000023839	0.893195957	0.038347936	ABCC2	Up
ENSG00000120727	-0.470988121	0.038354522	PAIP2	Down
ENSG00000204498	0.966453605	0.038354522	NFKBIL1	Up
ENSG00000187792	0.481834396	0.038366435	ZNF70	Up
ENSG00000110090	0.382671425	0.038429189	CPT1A	Up
ENSG00000179151	0.524131232	0.038480748	EDC3	Up
ENSG00000168283	-0.406236896	0.038497013	BMI1	Down
ENSG00000135144	0.757624448	0.038497013	DTX1	Up
ENSG00000004139	0.564551751	0.038497013	SARM1	Up
ENSG00000171612	-0.507421834	0.038530361	SLC25A33	Down
ENSG00000147905	-0.404443459	0.03855171	ZCCHC7	Down
ENSG00000069020	0.403738341	0.03855171	MAST4	Up
ENSG00000068971	0.637230449	0.03855171	PPP2R5B	Up
ENSG00000065609	-0.381520489	0.03857717	SNAP91	Down
ENSG00000063015	0.831137342	0.038603305	SEZ6	Up
ENSG00000169836	-0.860229949	0.038620057	TACR3	Down
ENSG00000102390	-0.57197045	0.038643688	PBDC1	Down
ENSG00000235718	2.676874014	0.038643688	MFRP	Up
ENSG00000204220	-0.449530758	0.038668057	PFDN6	Down
ENSG00000081985	-0.534071421	0.038668607	IL12RB2	Down
ENSG00000177302	0.432582687	0.038668607	TOP3A	Up
ENSG00000119574	1.012742015	0.038668607	ZBTB45	Up
ENSG00000017260	-0.374621062	0.038787933	ATP2C1	Down
ENSG00000135744	0.697651713	0.038815315	AGT	Up
ENSG00000158079	-0.379169754	0.038866888	PTPDC1	Down
ENSG00000174444	-0.322933944	0.038889196	RPL4	Down
ENSG00000213699	0.634865074	0.038934643	SLC35F6	Up
ENSG00000145016	0.367249194	0.038980024	RUBCN	Up
ENSG00000116141	-0.450408472	0.039051772	MARK1	Down
ENSG00000123213	-0.389833831	0.039051772	NLN	Down
ENSG00000164169	-0.44138799	0.039060826	PRMT9	Down
ENSG00000155975	-0.399423791	0.039060826	VPS37A	Down
ENSG00000115355	-0.437382819	0.039082695	CCDC88A	Down
ENSG00000184307	-0.41149902	0.039090469	ZDHHC23	Down
ENSG00000183578	-0.547856056	0.039090469	TNFAIP8L3	Down
ENSG00000175087	-0.447918887	0.039108003	PDIK1L	Down
ENSG00000148341	0.664795727	0.039202982	SH3GLB2	Up
ENSG00000151151	-0.490825892	0.03922274	IPMK	Down
ENSG00000162782	-0.751299983	0.039304553	TDRD5	Down
ENSG00000159640	0.885715757	0.039370443	ACE	Up
ENSG00000099256	-0.423071025	0.039408325	PRTFDC1	Down
ENSG00000106853	-0.497283455	0.039438849	PTGR1	Down
ENSG00000197713	-0.415459208	0.039464505	RPE	Down
ENSG00000170027	-0.406501096	0.039533004	YWHAG	Down
ENSG00000163453	0.764576529	0.039533004	IGFBP7	Up
ENSG00000002933	1.275002742	0.039533004	TMEM176A	Up
ENSG00000058668	-0.399974395	0.039567475	ATP2B4	Down
ENSG00000127423	-0.868359162	0.039632955	AUNIP	Down
ENSG00000163788	-0.406191167	0.039670727	SNRK	Down
ENSG00000013523	0.584338046	0.03968181	ANGEL1	Up
ENSG00000134532	-0.354923556	0.039686995	SOX5	Down
ENSG00000167114	0.783487107	0.03970608	SLC27A4	Up
ENSG00000029364	-0.365558116	0.039744852	SLC39A9	Down
ENSG00000121316	1.016758481	0.039774747	PLBD1	Up
ENSG00000063176	0.917091033	0.039774747	SPHK2	Up
ENSG00000204909	-1.005664942	0.039816261	SPINK9	Down
ENSG00000056277	-0.495025254	0.039816261	ZNF280C	Down
ENSG00000170954	-0.455326443	0.039847219	ZNF415	Down
ENSG00000196338	0.473191945	0.039994791	NLGN3	Up
ENSG00000156471	-0.40931623	0.04000184	PTDSS1	Down
ENSG00000164896	0.933688979	0.040055941	FASTK	Up
ENSG00000171840	0.87160493	0.040104469	NINJ2	Up
ENSG00000111142	-0.510223532	0.040113825	METAP2	Down
ENSG00000197050	-0.457235387	0.040113825	ZNF420	Down
ENSG00000196358	0.837750821	0.040113825	NTNG2	Up
ENSG00000166002	0.839460271	0.040113825	SMCO4	Up
ENSG00000165023	-0.378735845	0.040259508	DIRAS2	Down
ENSG00000169957	0.752968005	0.040265635	ZNF768	Up
ENSG00000147251	-0.430665425	0.040279341	DOCK11	Down
ENSG00000168004	-0.601688167	0.040279341	PLAAT5	Down
ENSG00000104490	-0.441871966	0.040283887	NCALD	Down
ENSG00000206418	-0.531876039	0.040290108	RAB12	Down
ENSG00000007545	0.505092539	0.040290108	CRAMP1	Up
ENSG00000148090	-0.409864739	0.040324244	AUH	Down
ENSG00000146457	-0.37302321	0.04033515	WTAP	Down
ENSG00000164252	-0.455418766	0.040355848	AGGF1	Down
ENSG00000170571	-0.500361646	0.040380689	EMB	Down
ENSG00000105852	-0.737878493	0.040418825	PON3	Down
ENSG00000174672	0.656874913	0.040528936	BRSK2	Up
ENSG00000213465	1.009627009	0.040528936	ARL2	Up
ENSG00000136546	-0.593972075	0.040613484	SCN7A	Down
ENSG00000134852	-0.357800364	0.040651294	CLOCK	Down
ENSG00000176182	1.086047823	0.040793308	MYPOP	Up
ENSG00000170745	-0.588579799	0.04083645	KCNS3	Down
ENSG00000225110	0.785989463	0.04083645	PNMA6F	Up
ENSG00000149084	-0.397928887	0.040895891	HSD17B12	Down
ENSG00000254505	0.785459146	0.040902384	CHMP4A	Up
ENSG00000163635	0.731308765	0.040954759	ATXN7	Up
ENSG00000113812	-0.373847561	0.041045637	ACTR8	Down
ENSG00000103024	1.168813078	0.041054898	NME3	Up
ENSG00000120800	-0.400841424	0.041057399	UTP20	Down
ENSG00000197568	0.606876651	0.041106597	HHLA3	Up
ENSG00000108352	0.719558108	0.041109341	RAPGEFL1	Up
ENSG00000247315	0.576061412	0.041116669	ZCCHC3	Up
ENSG00000188483	0.836613005	0.041205667	IER5L	Up
ENSG00000133805	0.541678871	0.041241092	AMPD3	Up
ENSG00000104763	-0.363792853	0.041295059	ASAH1	Down
ENSG00000197077	0.424960425	0.041310061	KIAA1671	Up
ENSG00000197622	0.361021922	0.041316089	CDC42SE1	Up
ENSG00000164112	-0.673814654	0.041343957	TMEM155	Down
ENSG00000105372	0.761342701	0.041343957	RPS19	Up
ENSG00000105723	0.587686367	0.041367605	GSK3A	Up
ENSG00000103496	0.434256837	0.041370759	STX4	Up
ENSG00000182552	-0.600259062	0.041397471	RWDD4	Down
ENSG00000164081	0.586214777	0.041408658	TEX264	Up
ENSG00000174938	0.838770849	0.041408658	SEZ6L2	Up
ENSG00000106069	0.590405178	0.041440709	CHN2	Up
ENSG00000250571	1.255647902	0.041440709	GLI4	Up
ENSG00000116539	-0.33122466	0.041526518	ASH1L	Down
ENSG00000172663	0.942224273	0.041543635	TMEM134	Up
ENSG00000105829	-0.450701398	0.041570776	BET1	Down
