ENSEMBL,ENTREZID,SYMBOL,GENENAME,CHR
ENSG00000143947,6233,RPS27A,ribosomal protein S27a,2
ENSG00000125970,22913,RALY,RALY heterogeneous nuclear ribonucleoprotein,20
ENSG00000137496,10068,IL18BP,interleukin 18 binding protein,11
ENSG00000072401,7321,UBE2D1,ubiquitin conjugating enzyme E2 D1,10
ENSG00000170525,5209,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",10
ENSG00000086717,5475,PPEF1,protein phosphatase with EF-hand domain 1,X
ENSG00000180448,23526,ARHGAP45,Rho GTPase activating protein 45,19
ENSG00000157657,114991,ZNF618,zinc finger protein 618,9
ENSG00000132635,64773,PCED1A,PC-esterase domain containing 1A,20
ENSG00000175220,392,ARHGAP1,Rho GTPase activating protein 1,11
ENSG00000111860,387119,CEP85L,centrosomal protein 85 like,6
ENSG00000170271,10826,FAXDC2,fatty acid hydroxylase domain containing 2,5
ENSG00000240038,280,AMY2B,amylase alpha 2B,1
ENSG00000151790,6999,TDO2,"tryptophan 2,3-dioxygenase",4
ENSG00000085760,4528,MTIF2,mitochondrial translational initiation factor 2,2
ENSG00000198718,23116,TOGARAM1,TOG array regulator of axonemal microtubules 1,14
ENSG00000101282,343637,RSPO4,R-spondin 4,20
ENSG00000164116,2982,GUCY1A1,guanylate cyclase 1 soluble subunit alpha 1,4
ENSG00000167995,7439,BEST1,bestrophin 1,11
ENSG00000066777,10565,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1,8
ENSG00000102024,5358,PLS3,plastin 3,X
ENSG00000078668,7419,VDAC3,voltage dependent anion channel 3,8
ENSG00000072803,23291,FBXW11,F-box and WD repeat domain containing 11,5
ENSG00000127412,56302,TRPV5,transient receptor potential cation channel subfamily V member 5,7
ENSG00000014123,23376,UFL1,UFM1 specific ligase 1,6
ENSG00000147676,114569,MAL2,"mal, T cell differentiation protein 2 (gene/pseudogene)",8
ENSG00000259417,100996492,CTXND1,cortexin domain containing 1,15
ENSG00000176884,2902,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,9
ENSG00000197302,124411,ZNF720,zinc finger protein 720,16
ENSG00000173409,64801,ARV1,"ARV1 homolog, fatty acid homeostasis modulator",1
ENSG00000109790,51088,KLHL5,kelch like family member 5,4
ENSG00000179456,10472,ZBTB18,zinc finger and BTB domain containing 18,1
ENSG00000158805,92822,ZNF276,zinc finger protein 276,16
ENSG00000175928,57633,LRRN1,leucine rich repeat neuronal 1,3
ENSG00000122547,80820,EEPD1,endonuclease/exonuclease/phosphatase family domain containing 1,7
ENSG00000151012,23657,SLC7A11,solute carrier family 7 member 11,4
ENSG00000188730,375567,VWC2,von Willebrand factor C domain containing 2,7
ENSG00000213928,10379,IRF9,interferon regulatory factor 9,14
ENSG00000132541,10247,RIDA,reactive intermediate imine deaminase A homolog,8
ENSG00000187741,2175,FANCA,FA complementation group A,16
ENSG00000130592,4046,LSP1,lymphocyte specific protein 1,11
ENSG00000137492,5612,THAP12,THAP domain containing 12,11
ENSG00000106723,10927,SPIN1,spindlin 1,9
ENSG00000149499,256364,EML3,EMAP like 3,11
ENSG00000175348,56674,TMEM9B,TMEM9 domain family member B,11
ENSG00000197724,5253,PHF2,PHD finger protein 2,9
ENSG00000131591,54991,C1orf159,chromosome 1 open reading frame 159,1
ENSG00000160410,92799,SHKBP1,SH3KBP1 binding protein 1,19
ENSG00000167716,124997,WDR81,WD repeat domain 81,17
ENSG00000171475,147179,WIPF2,WAS/WASL interacting protein family member 2,17
ENSG00000157637,124565,SLC38A10,solute carrier family 38 member 10,17
ENSG00000014914,10903,MTMR11,myotubularin related protein 11,1
ENSG00000140368,9051,PSTPIP1,proline-serine-threonine phosphatase interacting protein 1,15
ENSG00000144746,10550,ARL6IP5,ADP ribosylation factor like GTPase 6 interacting protein 5,3
ENSG00000206579,114786,XKR4,XK related 4,8
ENSG00000038532,23274,CLEC16A,C-type lectin domain containing 16A,16
ENSG00000103168,9013,TAF1C,"TATA-box binding protein associated factor, RNA polymerase I subunit C",16
ENSG00000182985,23705,CADM1,cell adhesion molecule 1,11
ENSG00000128683,2571,GAD1,glutamate decarboxylase 1,2
ENSG00000046889,80243,PREX2,"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2",8
ENSG00000139631,51380,CSAD,cysteine sulfinic acid decarboxylase,12
ENSG00000131094,10882,C1QL1,complement C1q like 1,17
ENSG00000124006,23363,OBSL1,obscurin like cytoskeletal adaptor 1,2
ENSG00000168259,7266,DNAJC7,DnaJ heat shock protein family (Hsp40) member C7,17
ENSG00000101654,8731,RNMT,RNA guanine-7 methyltransferase,18
ENSG00000137806,51103,NDUFAF1,NADH:ubiquinone oxidoreductase complex assembly factor 1,15
ENSG00000152332,127933,UHMK1,U2AF homology motif kinase 1,1
ENSG00000135972,64965,MRPS9,mitochondrial ribosomal protein S9,2
ENSG00000136631,11311,VPS45,vacuolar protein sorting 45 homolog,1
ENSG00000160801,5745,PTH1R,parathyroid hormone 1 receptor,3
ENSG00000197170,5718,PSMD12,"proteasome 26S subunit, non-ATPase 12",17
ENSG00000198954,26128,KIFBP,kinesin family binding protein,10
ENSG00000162302,8986,RPS6KA4,ribosomal protein S6 kinase A4,11
ENSG00000167625,116115,ZNF526,zinc finger protein 526,19
ENSG00000154864,63895,PIEZO2,piezo type mechanosensitive ion channel component 2,18
ENSG00000137193,5292,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase",6
ENSG00000213853,2013,EMP2,epithelial membrane protein 2,16
ENSG00000139567,94,ACVRL1,activin A receptor like type 1,12
ENSG00000000419,8813,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic",20
ENSG00000101665,4092,SMAD7,SMAD family member 7,18
ENSG00000102125,6901,TAZ,tafazzin,X
ENSG00000139684,2098,ESD,esterase D,13
ENSG00000180902,728294,D2HGDH,D-2-hydroxyglutarate dehydrogenase,2
ENSG00000105176,8725,URI1,URI1 prefoldin like chaperone,19
ENSG00000087502,51290,ERGIC2,ERGIC and golgi 2,12
ENSG00000160360,26086,GPSM1,G protein signaling modulator 1,9
ENSG00000156482,6156,RPL30,ribosomal protein L30,8
ENSG00000181191,64219,PJA1,praja ring finger ubiquitin ligase 1,X
ENSG00000130382,4298,MLLT1,MLLT1 super elongation complex subunit,19
ENSG00000165264,4712,NDUFB6,NADH:ubiquinone oxidoreductase subunit B6,9
ENSG00000154734,9510,ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1,21
ENSG00000237441,5863,RGL2,ral guanine nucleotide dissociation stimulator like 2,6
ENSG00000160310,3275,PRMT2,protein arginine methyltransferase 2,21
ENSG00000181523,6448,SGSH,N-sulfoglucosamine sulfohydrolase,17
ENSG00000105894,5764,PTN,pleiotrophin,7
ENSG00000131725,54521,WDR44,WD repeat domain 44,X
ENSG00000087302,51637,RTRAF,"RNA transcription, translation and transport factor",14
ENSG00000113327,2566,GABRG2,gamma-aminobutyric acid type A receptor gamma2 subunit,5
ENSG00000150787,5805,PTS,6-pyruvoyltetrahydropterin synthase,11
ENSG00000117984,1509,CTSD,cathepsin D,11
ENSG00000131899,3996,LLGL1,LLGL scribble cell polarity complex component 1,17
ENSG00000117480,2166,FAAH,fatty acid amide hydrolase,1
ENSG00000133083,9201,DCLK1,doublecortin like kinase 1,13
ENSG00000179083,286499,FAM133A,family with sequence similarity 133 member A,X
ENSG00000243646,3588,IL10RB,interleukin 10 receptor subunit beta,21
ENSG00000108406,79665,DHX40,DEAH-box helicase 40,17
ENSG00000178951,51341,ZBTB7A,zinc finger and BTB domain containing 7A,19
ENSG00000146083,22838,RNF44,ring finger protein 44,5
ENSG00000133641,91298,C12orf29,chromosome 12 open reading frame 29,12
ENSG00000188818,79844,ZDHHC11,zinc finger DHHC-type containing 11,5
ENSG00000143409,55793,MINDY1,MINDY lysine 48 deubiquitinase 1,1
ENSG00000107937,23560,GTPBP4,GTP binding protein 4,10
ENSG00000148824,92170,MTG1,mitochondrial ribosome associated GTPase 1,10
ENSG00000166006,3747,KCNC2,potassium voltage-gated channel subfamily C member 2,12
ENSG00000213281,4893,NRAS,"NRAS proto-oncogene, GTPase",1
ENSG00000134108,55207,ARL8B,ADP ribosylation factor like GTPase 8B,3
ENSG00000174332,148979,GLIS1,GLIS family zinc finger 1,1
ENSG00000205302,6643,SNX2,sorting nexin 2,5
ENSG00000156052,2776,GNAQ,G protein subunit alpha q,9
ENSG00000198162,10905,MAN1A2,mannosidase alpha class 1A member 2,1
ENSG00000205133,286144,TRIQK,triple QxxK/R motif containing,8
ENSG00000161057,5701,PSMC2,"proteasome 26S subunit, ATPase 2",7
ENSG00000074181,4854,NOTCH3,notch receptor 3,19
ENSG00000188039,284434,NWD1,NACHT and WD repeat domain containing 1,19
ENSG00000005175,79657,RPAP3,RNA polymerase II associated protein 3,12
ENSG00000104442,55156,ARMC1,armadillo repeat containing 1,8
ENSG00000166068,161742,SPRED1,sprouty related EVH1 domain containing 1,15
ENSG00000134285,51303,FKBP11,FKBP prolyl isomerase 11,12
ENSG00000122012,22987,SV2C,synaptic vesicle glycoprotein 2C,5
ENSG00000187790,57697,FANCM,FA complementation group M,14
ENSG00000072042,51109,RDH11,retinol dehydrogenase 11,14
ENSG00000139505,9107,MTMR6,myotubularin related protein 6,13
ENSG00000056097,51663,ZFR,zinc finger RNA binding protein,5
ENSG00000153253,6328,SCN3A,sodium voltage-gated channel alpha subunit 3,2
ENSG00000241489,NA,NA,NA,NA
ENSG00000213380,84342,COG8,component of oligomeric golgi complex 8,16
ENSG00000184221,116448,OLIG1,oligodendrocyte transcription factor 1,21
ENSG00000111237,51699,VPS29,VPS29 retromer complex component,12
ENSG00000056558,7185,TRAF1,TNF receptor associated factor 1,9
ENSG00000162929,84542,KIAA1841,KIAA1841,2
ENSG00000076864,5909,RAP1GAP,RAP1 GTPase activating protein,1
ENSG00000174780,6731,SRP72,signal recognition particle 72,4
ENSG00000164934,25879,DCAF13,DDB1 and CUL4 associated factor 13,8
ENSG00000061938,10188,TNK2,tyrosine kinase non receptor 2,3
ENSG00000131507,80762,NDFIP1,Nedd4 family interacting protein 1,5
ENSG00000124406,10396,ATP8A1,ATPase phospholipid transporting 8A1,4
ENSG00000162073,124222,PAQR4,progestin and adipoQ receptor family member 4,16
ENSG00000167371,112476,PRRT2,proline rich transmembrane protein 2,16
ENSG00000139318,1848,DUSP6,dual specificity phosphatase 6,12
ENSG00000130254,9667,SAFB2,scaffold attachment factor B2,19
ENSG00000128928,3712,IVD,isovaleryl-CoA dehydrogenase,15
ENSG00000181404,100287171,WASHC1,WASH complex subunit 1,9
ENSG00000164323,57587,CFAP97,cilia and flagella associated protein 97,4
ENSG00000221978,81669,CCNL2,cyclin L2,1
ENSG00000107771,54462,CCSER2,coiled-coil serine rich protein 2,10
ENSG00000181135,286075,ZNF707,zinc finger protein 707,8
ENSG00000004487,23028,KDM1A,lysine demethylase 1A,1
ENSG00000171811,54777,CFAP46,cilia and flagella associated protein 46,10
ENSG00000172771,90288,EFCAB12,EF-hand calcium binding domain 12,3
ENSG00000274180,256302,NATD1,N-acetyltransferase domain containing 1,17
ENSG00000116191,55103,RALGPS2,Ral GEF with PH domain and SH3 binding motif 2,1
ENSG00000155034,80028,FBXL18,F-box and leucine rich repeat protein 18,7
ENSG00000068796,3796,KIF2A,kinesin family member 2A,5
ENSG00000178662,80034,CSRNP3,cysteine and serine rich nuclear protein 3,2
ENSG00000103197,7249,TSC2,TSC complex subunit 2,16
ENSG00000075415,5250,SLC25A3,solute carrier family 25 member 3,12
ENSG00000162377,65260,COA7,cytochrome c oxidase assembly factor 7 (putative),1
ENSG00000149970,22866,CNKSR2,connector enhancer of kinase suppressor of Ras 2,X
ENSG00000068120,80347,COASY,Coenzyme A synthase,17
ENSG00000100038,8940,TOP3B,DNA topoisomerase III beta,22
ENSG00000133247,84787,KMT5C,lysine methyltransferase 5C,19
ENSG00000103932,26015,RPAP1,RNA polymerase II associated protein 1,15
ENSG00000171806,92342,METTL18,methyltransferase like 18,1
ENSG00000146463,9202,ZMYM4,zinc finger MYM-type containing 4,1
ENSG00000074660,8578,SCARF1,scavenger receptor class F member 1,17
ENSG00000075399,9605,VPS9D1,VPS9 domain containing 1,16
ENSG00000112655,5754,PTK7,protein tyrosine kinase 7 (inactive),6
ENSG00000143164,55827,DCAF6,DDB1 and CUL4 associated factor 6,1
ENSG00000110696,10944,C11orf58,chromosome 11 open reading frame 58,11
ENSG00000112759,2030,SLC29A1,solute carrier family 29 member 1 (Augustine blood group),6
ENSG00000163517,79885,HDAC11,histone deacetylase 11,3
ENSG00000132463,2926,GRSF1,G-rich RNA sequence binding factor 1,4
ENSG00000196531,4666,NACA,nascent polypeptide associated complex subunit alpha,12
ENSG00000173402,1605,DAG1,dystroglycan 1,3
ENSG00000167182,6668,SP2,Sp2 transcription factor,17
ENSG00000183401,126075,CCDC159,coiled-coil domain containing 159,19
ENSG00000105738,23094,SIPA1L3,signal induced proliferation associated 1 like 3,19
ENSG00000152193,79596,OBI1,ORC ubiquitin ligase 1,13
ENSG00000079931,26002,MOXD1,monooxygenase DBH like 1,6
ENSG00000204231,6257,RXRB,retinoid X receptor beta,6
ENSG00000158528,55607,PPP1R9A,protein phosphatase 1 regulatory subunit 9A,7
ENSG00000009830,29954,POMT2,protein O-mannosyltransferase 2,14
ENSG00000014216,823,CAPN1,calpain 1,11
ENSG00000163618,8618,CADPS,calcium dependent secretion activator,3
ENSG00000076351,113235,SLC46A1,solute carrier family 46 member 1,17
ENSG00000130224,57631,LRCH2,leucine rich repeats and calponin homology domain containing 2,X
ENSG00000127616,6597,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",19
ENSG00000103227,64788,LMF1,lipase maturation factor 1,16
ENSG00000168884,79155,TNIP2,TNFAIP3 interacting protein 2,4
ENSG00000078674,5108,PCM1,pericentriolar material 1,8
ENSG00000176531,653583,PHLDB3,pleckstrin homology like domain family B member 3,19
ENSG00000108821,1277,COL1A1,collagen type I alpha 1 chain,17
ENSG00000155329,54819,ZCCHC10,zinc finger CCHC-type containing 10,5
ENSG00000181004,166379,BBS12,Bardet-Biedl syndrome 12,4
ENSG00000104643,66036,MTMR9,myotubularin related protein 9,8
ENSG00000140548,374655,ZNF710,zinc finger protein 710,15
ENSG00000176209,114926,SMIM19,small integral membrane protein 19,8
ENSG00000165487,221154,MICU2,mitochondrial calcium uptake 2,13
ENSG00000080603,10847,SRCAP,Snf2 related CREBBP activator protein,16
ENSG00000012822,57658,CALCOCO1,calcium binding and coiled-coil domain 1,12
ENSG00000079332,56681,SAR1A,secretion associated Ras related GTPase 1A,10
ENSG00000147234,84443,FRMPD3,FERM and PDZ domain containing 3,X
ENSG00000165338,143279,HECTD2,HECT domain E3 ubiquitin protein ligase 2,10
ENSG00000170049,9196,KCNAB3,potassium voltage-gated channel subfamily A regulatory beta subunit 3,17
ENSG00000132205,84034,EMILIN2,elastin microfibril interfacer 2,18
ENSG00000198673,338811,TAFA2,TAFA chemokine like family member 2,12
ENSG00000154975,56934,CA10,carbonic anhydrase 10,17
ENSG00000151500,29087,THYN1,thymocyte nuclear protein 1,11
ENSG00000187815,339559,ZFP69,ZFP69 zinc finger protein,1
ENSG00000162231,10482,NXF1,nuclear RNA export factor 1,11
ENSG00000197894,128,ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",4
ENSG00000041353,5874,RAB27B,"RAB27B, member RAS oncogene family",18
ENSG00000196591,3066,HDAC2,histone deacetylase 2,6
ENSG00000109956,27087,B3GAT1,"beta-1,3-glucuronyltransferase 1",11
ENSG00000105137,85360,SYDE1,synapse defective Rho GTPase homolog 1,19
ENSG00000104365,3551,IKBKB,inhibitor of nuclear factor kappa B kinase subunit beta,8
ENSG00000025156,3298,HSF2,heat shock transcription factor 2,6
ENSG00000171566,5356,PLRG1,pleiotropic regulator 1,4
ENSG00000114279,2257,FGF12,fibroblast growth factor 12,3
ENSG00000163449,92691,TMEM169,transmembrane protein 169,2
ENSG00000176248,29882,ANAPC2,anaphase promoting complex subunit 2,9
ENSG00000070814,6949,TCOF1,treacle ribosome biogenesis factor 1,5
ENSG00000134248,10542,LAMTOR5,"late endosomal/lysosomal adaptor, MAPK and MTOR activator 5",1
ENSG00000096872,80173,IFT74,intraflagellar transport 74,9
ENSG00000137070,3590,IL11RA,interleukin 11 receptor subunit alpha,9
ENSG00000155189,55326,AGPAT5,1-acylglycerol-3-phosphate O-acyltransferase 5,8
ENSG00000215041,84461,NEURL4,neuralized E3 ubiquitin protein ligase 4,17
ENSG00000166342,81832,NETO1,neuropilin and tolloid like 1,18
ENSG00000211584,55652,SLC48A1,solute carrier family 48 member 1,12
ENSG00000138175,403,ARL3,ADP ribosylation factor like GTPase 3,10
ENSG00000172809,6169,RPL38,ribosomal protein L38,17
ENSG00000033122,57554,LRRC7,leucine rich repeat containing 7,1
ENSG00000115286,374291,NDUFS7,NADH:ubiquinone oxidoreductase core subunit S7,19
ENSG00000110237,9828,ARHGEF17,Rho guanine nucleotide exchange factor 17,11
ENSG00000168491,256309,CCDC110,coiled-coil domain containing 110,4
ENSG00000108509,23125,CAMTA2,calmodulin binding transcription activator 2,17
ENSG00000038274,27430,MAT2B,methionine adenosyltransferase 2B,5
ENSG00000258839,4157,MC1R,melanocortin 1 receptor,16
ENSG00000173992,9973,CCS,copper chaperone for superoxide dismutase,11
ENSG00000111885,4121,MAN1A1,mannosidase alpha class 1A member 1,6
ENSG00000172530,54971,BANP,BTG3 associated nuclear protein,16
ENSG00000048544,55173,MRPS10,mitochondrial ribosomal protein S10,6
ENSG00000123384,4035,LRP1,LDL receptor related protein 1,12
ENSG00000186648,90668,CARMIL3,capping protein regulator and myosin 1 linker 3,14
ENSG00000100982,63935,PCIF1,PDX1 C-terminal inhibiting factor 1,20
ENSG00000110768,2965,GTF2H1,general transcription factor IIH subunit 1,11
ENSG00000182372,2055,CLN8,CLN8 transmembrane ER and ERGIC protein,8
ENSG00000152942,5884,RAD17,RAD17 checkpoint clamp loader component,5
ENSG00000129055,25847,ANAPC13,anaphase promoting complex subunit 13,3
ENSG00000058272,4659,PPP1R12A,protein phosphatase 1 regulatory subunit 12A,12
ENSG00000185942,286183,NKAIN3,sodium/potassium transporting ATPase interacting 3,8
ENSG00000023572,51022,GLRX2,glutaredoxin 2,1
ENSG00000177888,360023,ZBTB41,zinc finger and BTB domain containing 41,1
ENSG00000102034,2000,ELF4,E74 like ETS transcription factor 4,X
ENSG00000010361,80199,FUZ,fuzzy planar cell polarity protein,19
ENSG00000258227,23601,CLEC5A,C-type lectin domain containing 5A,7
ENSG00000137269,55227,LRRC1,leucine rich repeat containing 1,6
ENSG00000129596,1036,CDO1,cysteine dioxygenase type 1,5
ENSG00000174599,133022,TRAM1L1,translocation associated membrane protein 1 like 1,4
ENSG00000164880,26173,INTS1,integrator complex subunit 1,7
ENSG00000117153,59349,KLHL12,kelch like family member 12,1
ENSG00000047621,57102,C12orf4,chromosome 12 open reading frame 4,12
ENSG00000168710,10768,AHCYL1,adenosylhomocysteinase like 1,1
ENSG00000070081,4925,NUCB2,nucleobindin 2,11
ENSG00000166682,80975,TMPRSS5,transmembrane serine protease 5,11
ENSG00000168404,197259,MLKL,mixed lineage kinase domain like pseudokinase,16
ENSG00000158683,168507,PKD1L1,"polycystin 1 like 1, transient receptor potential channel interacting",7
ENSG00000143702,9859,CEP170,centrosomal protein 170,1
ENSG00000124067,6560,SLC12A4,solute carrier family 12 member 4,16
ENSG00000196510,51434,ANAPC7,anaphase promoting complex subunit 7,12
ENSG00000054967,84957,RELT,RELT TNF receptor,11
ENSG00000107719,27143,PALD1,phosphatase domain containing paladin 1,10
ENSG00000160791,1234,CCR5,C-C motif chemokine receptor 5 (gene/pseudogene),3
ENSG00000213639,5500,PPP1CB,protein phosphatase 1 catalytic subunit beta,2
ENSG00000107140,7016,TESK1,testis associated actin remodelling kinase 1,9
ENSG00000103591,79719,AAGAB,alpha and gamma adaptin binding protein,15
ENSG00000067082,1316,KLF6,Kruppel like factor 6,10
ENSG00000105613,22983,MAST1,microtubule associated serine/threonine kinase 1,19
ENSG00000179532,144132,DNHD1,dynein heavy chain domain 1,11
ENSG00000119638,91754,NEK9,NIMA related kinase 9,14
ENSG00000101004,22981,NINL,ninein like,20
ENSG00000173638,6573,SLC19A1,solute carrier family 19 member 1,21
ENSG00000004700,5965,RECQL,RecQ like helicase,12
ENSG00000150768,1737,DLAT,dihydrolipoamide S-acetyltransferase,11
ENSG00000125945,80818,ZNF436,zinc finger protein 436,1
ENSG00000083099,57226,LYRM2,LYR motif containing 2,6
ENSG00000182481,3838,KPNA2,karyopherin subunit alpha 2,17
ENSG00000118507,9465,AKAP7,A-kinase anchoring protein 7,6
ENSG00000130940,54897,CASZ1,castor zinc finger 1,1
ENSG00000138080,11117,EMILIN1,elastin microfibril interfacer 1,2
ENSG00000161249,93099,DMKN,dermokine,19
ENSG00000160949,4796,TONSL,"tonsoku like, DNA repair protein",8
ENSG00000127527,58513,EPS15L1,epidermal growth factor receptor pathway substrate 15 like 1,19
ENSG00000108107,6158,RPL28,ribosomal protein L28,19
ENSG00000118276,9331,B4GALT6,"beta-1,4-galactosyltransferase 6",18
ENSG00000136997,4609,MYC,"MYC proto-oncogene, bHLH transcription factor",8
ENSG00000117013,9132,KCNQ4,potassium voltage-gated channel subfamily Q member 4,1
ENSG00000169131,6940,ZNF354A,zinc finger protein 354A,5
ENSG00000160439,112724,RDH13,retinol dehydrogenase 13,19
ENSG00000076555,32,ACACB,acetyl-CoA carboxylase beta,12
ENSG00000187609,54932,EXD3,exonuclease 3'-5' domain containing 3,9
ENSG00000183853,55243,KIRREL1,kirre like nephrin family adhesion molecule 1,1
ENSG00000119414,5537,PPP6C,protein phosphatase 6 catalytic subunit,9
ENSG00000127054,54973,INTS11,integrator complex subunit 11,1
ENSG00000115816,10153,CEBPZ,CCAAT enhancer binding protein zeta,2
ENSG00000198015,28977,MRPL42,mitochondrial ribosomal protein L42,12
ENSG00000148300,57109,REXO4,"REX4 homolog, 3'-5' exonuclease",9
ENSG00000273173,8926,SNURF,SNRPN upstream reading frame,15
ENSG00000132432,23480,SEC61G,SEC61 translocon gamma subunit,7
ENSG00000058453,9696,CROCC,"ciliary rootlet coiled-coil, rootletin",1
ENSG00000108219,81619,TSPAN14,tetraspanin 14,10
ENSG00000188549,388115,CCDC9B,coiled-coil domain containing 9B,15
ENSG00000119777,54867,TMEM214,transmembrane protein 214,2
ENSG00000137561,7274,TTPA,alpha tocopherol transfer protein,8
ENSG00000153561,64795,RMND5A,required for meiotic nuclear division 5 homolog A,2
ENSG00000092148,25831,HECTD1,HECT domain E3 ubiquitin protein ligase 1,14
ENSG00000113013,3313,HSPA9,heat shock protein family A (Hsp70) member 9,5
ENSG00000126561,6776,STAT5A,signal transducer and activator of transcription 5A,17
ENSG00000180440,400120,SERTM1,serine rich and transmembrane domain containing 1,13
ENSG00000171490,26156,RSL1D1,ribosomal L1 domain containing 1,16
ENSG00000165516,23588,KLHDC2,kelch domain containing 2,14
ENSG00000170606,3308,HSPA4,heat shock protein family A (Hsp70) member 4,5
ENSG00000132305,10989,IMMT,inner membrane mitochondrial protein,2
ENSG00000085788,23259,DDHD2,DDHD domain containing 2,8
ENSG00000103326,6650,CAPN15,calpain 15,16
ENSG00000148288,26301,GBGT1,"globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)",9
ENSG00000132002,3337,DNAJB1,DnaJ heat shock protein family (Hsp40) member B1,19
ENSG00000184489,11156,PTP4A3,protein tyrosine phosphatase 4A3,8
ENSG00000008277,53616,ADAM22,ADAM metallopeptidase domain 22,7
ENSG00000132471,23558,WBP2,WW domain binding protein 2,17
ENSG00000111452,283383,ADGRD1,adhesion G protein-coupled receptor D1,12
ENSG00000085224,546,ATRX,ATRX chromatin remodeler,X
ENSG00000112305,60682,SMAP1,small ArfGAP 1,6
ENSG00000171456,171023,ASXL1,ASXL transcriptional regulator 1,20
ENSG00000007541,9091,PIGQ,phosphatidylinositol glycan anchor biosynthesis class Q,16
ENSG00000149532,79869,CPSF7,cleavage and polyadenylation specific factor 7,11
ENSG00000065613,9748,SLK,STE20 like kinase,10
ENSG00000145734,55814,BDP1,"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB",5
ENSG00000174007,84984,CEP19,centrosomal protein 19,3
ENSG00000197256,25959,KANK2,KN motif and ankyrin repeat domains 2,19
ENSG00000176396,163126,EID2,EP300 interacting inhibitor of differentiation 2,19
ENSG00000073849,6480,ST6GAL1,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1",3
ENSG00000145014,93109,TMEM44,transmembrane protein 44,3
ENSG00000124191,84969,TOX2,TOX high mobility group box family member 2,20
ENSG00000139200,196500,PIANP,PILR alpha associated neural protein,12
ENSG00000188649,387707,CC2D2B,coiled-coil and C2 domain containing 2B,10
ENSG00000122678,27434,POLM,DNA polymerase mu,7
ENSG00000111783,5992,RFX4,regulatory factor X4,12
ENSG00000134717,91408,BTF3L4,basic transcription factor 3 like 4,1
ENSG00000101052,51098,IFT52,intraflagellar transport 52,20
ENSG00000143442,23126,POGZ,pogo transposable element derived with ZNF domain,1
ENSG00000047410,7175,TPR,"translocated promoter region, nuclear basket protein",1
ENSG00000088881,57593,EBF4,EBF family member 4,20
ENSG00000204172,642517,AGAP9,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 9",10
ENSG00000166913,7529,YWHAB,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta,20
ENSG00000104660,23484,LEPROTL1,leptin receptor overlapping transcript like 1,8
ENSG00000145730,5066,PAM,peptidylglycine alpha-amidating monooxygenase,5
ENSG00000123178,57213,SPRYD7,SPRY domain containing 7,13
ENSG00000124486,8239,USP9X,ubiquitin specific peptidase 9 X-linked,X
ENSG00000071243,54556,ING3,inhibitor of growth family member 3,7
ENSG00000136052,84102,SLC41A2,solute carrier family 41 member 2,12
ENSG00000181610,51649,MRPS23,mitochondrial ribosomal protein S23,17
ENSG00000165637,7417,VDAC2,voltage dependent anion channel 2,10
ENSG00000125826,10616,RBCK1,RANBP2-type and C3HC4-type zinc finger containing 1,20
ENSG00000213047,163486,DENND1B,DENN domain containing 1B,1
ENSG00000142552,57333,RCN3,reticulocalbin 3,19
ENSG00000151575,374618,TEX9,testis expressed 9,15
ENSG00000130723,84726,PRRC2B,proline rich coiled-coil 2B,9
ENSG00000144935,7220,TRPC1,transient receptor potential cation channel subfamily C member 1,3
ENSG00000114999,150465,TTL,tubulin tyrosine ligase,2
ENSG00000178965,127254,ERICH3,glutamate rich 3,1
ENSG00000152620,133686,NADK2,"NAD kinase 2, mitochondrial",5
ENSG00000142327,57140,RNPEPL1,arginyl aminopeptidase like 1,2
ENSG00000156976,1974,EIF4A2,eukaryotic translation initiation factor 4A2,3
ENSG00000187325,51616,TAF9B,TATA-box binding protein associated factor 9b,X
ENSG00000184156,3786,KCNQ3,potassium voltage-gated channel subfamily Q member 3,8
ENSG00000255112,57132,CHMP1B,charged multivesicular body protein 1B,18
ENSG00000141682,5366,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1,18
ENSG00000023191,6050,RNH1,ribonuclease/angiogenin inhibitor 1,11
ENSG00000164543,9263,STK17A,serine/threonine kinase 17a,7
ENSG00000156414,122402,TDRD9,tudor domain containing 9,14
ENSG00000176834,54621,VSIG10,V-set and immunoglobulin domain containing 10,12
ENSG00000167874,92162,TMEM88,transmembrane protein 88,17
ENSG00000126883,8021,NUP214,nucleoporin 214,9
ENSG00000166925,81628,TSC22D4,TSC22 domain family member 4,7
